,Title,Genre,Top 3 Protagonists,Male Counts,Female Counts,Unisex Counts,Male Percent,Female Percent,Unisex Percent,F-F Convs,F-U Convs,Contain Male,Dont Contain Male
75,Max-Payne,Thriller,"['u', 'f', 'm']",47,63,136,0.4666666666666667,0.3333333333333333,0.2,0,0,0,0
76,After.Life,Horror,"['m', 'f', 'm']",449,233,0,0.75,0.25,0.0,0,0,0,0
77,Case-39,Thriller,"['f', 'f', 'm']",163,489,4,0.5,0.3888888888888889,0.1111111111111111,46,2,13,35
78,"Ice-Storm,-The",Drama,"['m', 'f', 'f']",396,304,54,0.5862068965517241,0.3103448275862069,0.10344827586206896,8,7,6,11
79,Perfect-Creature,Fantasy,"['f', 'm', 'm']",110,112,29,0.625,0.125,0.25,0,4,0,0
80,Scarface,Drama,"['u', 'f', 'f']",80,113,467,0.6086956521739131,0.17391304347826086,0.21739130434782608,0,38,0,0
81,Chinatown,Mystery,"['u', 'm', 'm']",132,14,187,0.7333333333333333,0.2,0.06666666666666667,0,1,0,0
82,Dawn-of-the-Dead,Horror,"['m', 'm', 'm']",10,1,0,0.9,0.1,0.0,0,0,0,0
83,"Ruins,-The",Thriller,"['m', 'f', 'u']",434,159,144,0.625,0.25,0.125,0,11,0,0
84,Frankenweenie,Family,"['m', 'f', 'm']",162,43,0,0.7142857142857143,0.2857142857142857,0.0,0,0,0,1
85,"Dark-Knight,-The",Thriller,[],0,0,0,0.0,0.0,0.0,0,0,0,0
86,"Taking-of-Pelham-One-Two-Three,-The",Crime,"['m', 'm', 'm']",343,0,9,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0
87,Heavenly-Creatures,Crime,"['m', 'm', 'f']",14,3,0,0.6,0.4,0.0,0,0,0,0
88,"Mechanic,-The",Action,"['m', 'm', 'f']",243,19,0,0.75,0.25,0.0,0,0,0,0
89,Escape-From-L.A.,Adventure,['m'],7,0,0,1.0,0.0,0.0,0,0,0,0
90,Misery,Drama,"['f', 'm', 'f']",181,254,0,0.5,0.5,0.0,0,0,0,0
91,"Big-White,-The",Crime,"['m', 'u', 'm']",324,160,196,0.5,0.25,0.25,0,12,0,0
92,Confidence,Crime,"['m', 'f', 'm']",583,105,2,0.6666666666666666,0.2,0.13333333333333333,0,0,0,1
93,Midnight-in-Paris,Fantasy,"['m', 'f', 'f']",380,310,1,0.47368421052631576,0.47368421052631576,0.05263157894736842,3,0,12,16
94,Big,Family,[],0,0,0,0.0,0.0,0.0,0,0,0,0
95,Jackie-Brown,Animation,"['u', 'u', 'm']",155,130,691,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,0,0,0
96,"Postman,-The",Adventure,"['u', 'm', 'm']",105,4,74,0.6666666666666666,0.13333333333333333,0.2,0,0,0,0
97,All-About-Steve,Comedy,"['f', 'm', 'm']",180,297,0,0.7142857142857143,0.2857142857142857,0.0,7,0,3,7
98,Hanna,Action,"['f', 'f', 'm']",122,461,0,0.45454545454545453,0.5454545454545454,0.0,42,0,14,36
99,Ninja-Assassin,Crime,['m'],2,0,0,1.0,0.0,0.0,0,0,0,0
100,"White-Ribbon,-The",Mystery,['m'],1,0,0,1.0,0.0,0.0,0,0,0,0
101,"Graduate,-The",Drama,"['m', 'f', 'm']",608,133,0,0.8888888888888888,0.1111111111111111,0.0,0,0,0,0
102,Cowboys-&-Aliens,Action,"['m', 'f', 'm']",250,126,33,0.75,0.1875,0.0625,0,0,0,0
103,"American,-The",Thriller,"['m', 'f', 'f']",364,239,0,0.6,0.4,0.0,0,0,0,1
104,Miami-Vice,Thriller,"['f', 'f', 'f']",24,131,2,0.5833333333333334,0.25,0.16666666666666666,2,0,1,1
105,Darkman,Crime,"['u', 'm', 'm']",177,0,135,0.875,0.0,0.125,0,0,0,0
106,Blade-II,Action,"['f', 'm']",1,73,0,0.5,0.5,0.0,0,0,0,0
107,Shadow-of-the-Vampire,Horror,[],0,0,0,0.0,0.0,0.0,0,0,0,0
108,Barton-Fink,Comedy,"['m', 'm', 'f']",489,76,11,0.6,0.26666666666666666,0.13333333333333333,0,0,0,0
109,"Croods,-The",Animation,"['m', 'm', 'u']",193,0,4,0.6666666666666666,0.0,0.3333333333333333,0,0,0,0
110,"Great-Gatsby,-The",Romance,"['m', 'm', 'f']",498,138,70,0.5,0.2857142857142857,0.21428571428571427,0,1,0,1
111,Extract,Crime,"['m', 'm', 'f']",629,153,35,0.5625,0.3125,0.125,3,2,6,1
112,Gods-and-Monsters,Drama,"['m', 'f', 'f']",362,188,2,0.5789473684210527,0.3157894736842105,0.10526315789473684,1,0,3,0
113,Basic,Mystery,"['m', 'm', 'm']",635,0,0,1.0,0.0,0.0,0,0,0,0
114,Runaway-Bride,Romance,"['f', 'm', 'f']",307,358,27,0.34782608695652173,0.30434782608695654,0.34782608695652173,11,3,10,13
115,Austin-Powers---The-Spy-Who-Shagged-Me,Action,"['u', 'f', 'm']",69,118,270,0.6086956521739131,0.21739130434782608,0.17391304347826086,0,34,0,0
116,Moon,Thriller,"['u', 'f', 'f']",1,116,379,0.2,0.6,0.2,2,41,1,1
117,Moon,Sci-Fi,"['u', 'f', 'f']",1,116,379,0.2,0.6,0.2,2,41,1,1
118,Air-Force-One,Action,"['m', 'f', 'f']",294,107,6,0.7857142857142857,0.14285714285714285,0.07142857142857142,7,0,5,4
119,Cube,Thriller,[],0,0,0,0.0,0.0,0.0,0,0,0,0
120,Angels-&-Demons,Thriller,"['f', 'm', 'm']",12,98,0,0.8,0.2,0.0,0,0,0,0
121,I-Still-Know-What-You-Did-Last-Summer,Horror,"['u', 'f', 'm']",141,159,237,0.5714285714285714,0.21428571428571427,0.21428571428571427,1,32,3,3
122,"Manchurian-Candidate,-The",Mystery,"['m', 'm', 'f']",459,165,27,0.6470588235294118,0.29411764705882354,0.058823529411764705,0,1,0,1
123,Last-Tango-in-Paris,Romance,"['f', 'm', 'm']",432,346,0,0.5714285714285714,0.42857142857142855,0.0,2,0,2,1
124,"Things-My-Father-Never-Taught-Me,-The",Short,"['m', 'f']",32,8,0,0.5,0.5,0.0,0,0,0,0
125,A.I.,Sci-Fi,[],0,0,0,0.0,0.0,0.0,0,0,0,0
126,Bad-Day-at-Black-Rock,Thriller,"['m', 'm', 'u']",226,43,52,0.625,0.125,0.25,0,0,0,0
127,"Island,-The",Action,"['m', 'm', 'f']",355,105,0,0.5,0.5,0.0,0,0,0,0
128,"Rocky-Horror-Picture-Show,-The",Sci-Fi,"['m', 'u', 'f']",119,89,98,0.6666666666666666,0.1111111111111111,0.2222222222222222,0,8,0,0
129,"Crow,-The",Fantasy,"['m', 'm', 'f']",285,71,0,0.6153846153846154,0.38461538461538464,0.0,3,0,1,2
130,Donnie-Darko,Thriller,[],0,0,0,0.0,0.0,0.0,0,0,0,0
131,Suspect-Zero,Drama,"['u', 'm', 'f']",72,38,84,0.4,0.4,0.2,0,3,0,0
132,Thunderbirds,Comedy,"['m', 'm', 'm']",391,5,1,0.8,0.1,0.1,0,0,0,0
133,Frozen-(Disney),Animation,"['f', 'f', 'm']",135,436,0,0.5384615384615384,0.46153846153846156,0.0,17,0,7,16
134,Eternal-Sunshine-of-the-Spotless-Mind,Sci-Fi,"['m', 'f', 'f']",486,428,0,0.75,0.25,0.0,1,0,1,1
135,Juno,Comedy,"['m', 'f', 'f']",187,148,37,0.5555555555555556,0.3333333333333333,0.1111111111111111,3,3,2,1
136,Bull-Durham,Comedy,"['f', 'm', 'm']",125,235,55,0.5263157894736842,0.10526315789473684,0.3684210526315789,0,5,3,4
